,gene_name,gene_length,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7,patient_8,patient_9,patient_10
0,A1BG,3931,1272.36,452.96,288.06,400.11,420.46,877.59,402.77,559.2,269.59,586.66
1,A1CF,2409,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A2BP1,5897,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,A2LD1,2825,164.38,552.43,201.83,165.12,95.75,636.63,241.56,30.82,105.44,239.19
4,A2ML1,6303,27.0,0.0,0.0,0.0,8.0,0.0,1.0,763.0,0.0,0.0
5,A2M,4666,65232.35,61911.87,99195.94,12880.89,83380.84,39417.73,358068.86,16470.99,320261.89,162625.78
6,A4GALT,2207,190.0,213.0,103.0,752.0,38.0,301.0,424.0,97.0,693.0,99.0
7,A4GNT,1771,5.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,20.0,3.0
8,AAA1,3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AAAS,1836,2449.0,2181.0,1203.0,1440.0,1646.0,3353.0,2422.0,1357.0,1617.0,2097.0
10,AACSL,2821,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0
11,AACS,4373,1571.0,778.0,1496.0,498.0,836.0,1628.0,1621.0,1584.0,780.0,1135.0
12,AADACL2,1498,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
13,AADACL3,4049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
14,AADACL4,1574,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AADAC,1606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AADAT,2415,120.0,383.0,85.0,19.0,853.0,192.0,69.0,411.0,1491.0,110.0
17,AAGAB,3047,1716.0,2133.0,2358.0,1345.0,3566.0,4805.0,4807.0,1752.0,2306.0,3871.0
18,AAK1,21636,1799.0,2001.0,2619.0,2978.0,1694.0,4222.0,3699.0,1594.0,3957.0,962.0
19,AAMP,1931,8729.0,5311.0,3636.0,3335.0,5198.0,7019.0,8373.0,8178.0,6285.0,6831.0
20,AANAT,1060,3.0,1.0,0.0,2.0,7.0,1.0,5.0,2.0,0.0,5.0
21,AARS2,4782,2807.83,4018.89,912.99,983.99,1576.79,3283.95,3874.83,3280.97,1969.78,2541.9
22,AARSD1,3641,1822.0,2195.0,992.0,881.0,1530.0,3063.0,2330.0,2576.0,1314.0,1522.0
